device;data_samples;batch_size;loss_function;random_seed;hidden_layer_size;hidden_layer_activation;learning_rate;momentum;epochs;epoch;phase;accuracy;loss;duration
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;1;TRAIN;53.8;1.867341;26.355049
cuda;12000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;1;VAL;68.7;1.571640;10.066277
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;2;TRAIN;71.5;1.411694;2.972172
cuda;12000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;2;VAL;73.9;1.278350;0.650558
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;3;TRAIN;76.2;1.181437;2.629459
cuda;12000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;3;VAL;78.2;1.094997;0.652374
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;4;TRAIN;80.0;1.026057;3.919074
cuda;12000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;4;VAL;81.4;0.963957;0.752995
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;5;TRAIN;82.8;0.911555;3.868447
cuda;12000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;5;VAL;83.4;0.865180;0.722318
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;6;TRAIN;84.4;0.823639;3.066734
cuda;12000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;6;VAL;84.8;0.788346;0.570144
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;7;TRAIN;85.5;0.754291;3.376644
cuda;12000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;7;VAL;85.8;0.727163;0.831694
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;8;TRAIN;86.4;0.698437;3.096462
cuda;12000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;8;VAL;86.5;0.677455;0.669411
cuda;48000;100;CrossEntropyLoss();43;28;Tanh();0.001;0.1;30;9;TRAIN;87.1;0.652660;2.891683
