seed;hidden_layer_size;learning_rate;momentum;epoch;phase;accuracy;loss
43;512;0.5;0.9;13;VAL;98.0;0.074736
43;512;0.5;0.9;14;VAL;97.9;0.077125
43;512;0.5;0.9;15;VAL;97.9;0.079886
43;1024;0.5;0.9;12;VAL;98.2;0.067175
43;1024;0.5;0.9;13;VAL;98.2;0.068452
43;1024;0.5;0.9;14;VAL;98.2;0.069148
43;1024;0.5;0.9;15;VAL;98.2;0.069372
689;512;0.5;0.9;10;VAL;97.9;0.076483
689;512;0.5;0.9;11;VAL;97.8;0.077553
689;512;0.5;0.9;12;VAL;97.7;0.080453
689;512;0.5;0.9;13;VAL;97.9;0.076979
689;512;0.5;0.9;14;VAL;97.8;0.079204
689;512;0.5;0.9;15;VAL;97.9;0.079201
689;1024;0.5;0.9;12;VAL;98.0;0.071642
689;1024;0.5;0.9;13;VAL;97.9;0.075409
689;1024;0.5;0.9;14;VAL;97.9;0.073848
689;1024;0.5;0.9;15;VAL;98.0;0.075897
5093;512;0.5;0.9;12;VAL;97.7;0.076138
5093;512;0.5;0.9;13;VAL;97.8;0.076595
5093;512;0.5;0.9;14;VAL;97.8;0.076780
5093;512;0.5;0.9;15;VAL;97.8;0.076744
5093;1024;0.5;0.9;10;VAL;97.9;0.065910
5093;1024;0.5;0.9;11;VAL;98.0;0.066273
5093;1024;0.5;0.9;12;VAL;98.0;0.067179
5093;1024;0.5;0.9;13;VAL;98.0;0.067580
5093;1024;0.5;0.9;14;VAL;98.0;0.065770
5093;1024;0.5;0.9;15;VAL;98.0;0.066100
